과목,질문,꿀팁 한문장,난이도,키워드들,카테고리들,영어질문,영어꿀팁,영어키워드,영어카테고리,참고답안,영어참고답안
운영체제,임계 구역(Critical Section) 문제 해결을 위한 상호 배제와 진행 조건에 대해 설명해주세요,한 번에 하나만 진입하고 대기 중인 프로세스가 있다면 진입을 보장해야 함,중,"임계 구역, 상호 배제",동기화와 데드락,Explain Mutual Exclusion and Progress conditions for solving the Critical Section problem,Only one enters at a time; must guarantee entry for waiting processes,"Critical Section, Mutual Exclusion",Synchronization & Deadlock,임계 구역 문제를 해결하려면 세 가지 필수 조건이 충족되어야 합니다. 그중 상호 배제는 한 프로세스가 임계 구역에서 실행 중일 때 다른 프로세스는 진입할 수 없음을 의미합니다. 또한 진입을 기다리는 프로세스가 있다면 적절한 시간 내에 들어갈 수 있도록 보장하는 진행(Progress) 조건 등이 지켜져야 합니다.,"Solving the Critical Section problem requires satisfying the condition of Mutual Exclusion, which dictates that only one process can be in the section at a time. Along with Mutual Exclusion, the system must ensure progress, meaning that the decision of which process enters the Critical Section next cannot be postponed indefinitely if the section is free."
운영체제,세마포어와 뮤텍스의 동작 원리와 두 방식의 결정적인 차이점은 무엇인가요,"세마포어는 신호 기반으로 다수 자원을, 뮤텍스는 락 기반으로 1개 자원을 관리함",상,"세마포어, 뮤텍스",동기화와 데드락,"Explain the principles of Semaphores and Mutexes, and the critical difference between them",Semaphore manages multiple resources (signal); Mutex manages one (lock),"Semaphore, Mutex",Synchronization & Deadlock,"뮤텍스와 세마포어는 임계 구역 접근을 제어하는 도구입니다. 뮤텍스는 한 번에 하나의 프로세스만 락(Lock)을 획득하여 자원을 사용하는 방식인 반면, 세마포어는 가용 자원의 개수를 나타내는 신호(Signal) 값을 사용하여 여러 개의 프로세스가 동시에 접근할 수 있도록 허용 범위를 조절한다는 차이가 있습니다.","Mutex and Semaphore are fundamental synchronization tools. A Mutex is essentially a binary lock that grants exclusive access to a single owner, whereas a Semaphore acts as a signaling mechanism that can manage access for multiple instances of a resource by incrementing or decrementing a counter value."
운영체제,데드락(Deadlock)이 발생하기 위한 4가지 필수 조건은 무엇인가요,"상호 배제, 점유 대기, 비선점, 순환 대기가 모두 충족될 때 발생함",상,"데드락, 발생 조건",동기화와 데드락,What are the four necessary conditions for a Deadlock to occur?,"Occurs when mutual exclusion, hold-and-wait, no preemption, and circular wait are met","Deadlock, Occurrence Conditions",Synchronization & Deadlock,"데드락은 서로가 가진 자원을 기다리며 무한히 대기하는 상태를 말하며, 4가지 발생 조건이 모두 충족될 때 일어납니다. 상호 배제, 점유 대기, 비선점, 그리고 순환 대기라는 이 발생 조건 중 하나라도 깨뜨릴 수 있다면 데드락 문제를 사전에 방지하거나 해결할 수 있습니다.","A Deadlock is a situation where processes are stuck in a circular wait for resources held by each other. For a Deadlock to occur, four Occurrence Conditions must be present: mutual exclusion, hold-and-wait, no preemption, and circular wait. Eliminating any of these Occurrence Conditions can prevent the system from entering a halted state."
운영체제,데드락 회피를 위한 은행원 알고리즘의 작동 원리와 안정 상태의 개념은 무엇인가요,자원 할당 후에도 데드락 가능성이 없는 안정 상태일 때만 자원을 내어줌,상,"은행원 알고리즘, 회피",동기화와 데드락,Explain the principle of the Banker's Algorithm for deadlock avoidance and the concept of a Safe State,Grants resources only when a 'Safe State' is maintained without deadlock risk,"Banker's Algorithm, Avoidance",Synchronization & Deadlock,"은행원 알고리즘은 데드락을 방지하기 위한 대표적인 회피 기법입니다. 시스템이 자원을 할당해주기 전에, 할당 후에도 모든 프로세스가 안전하게 작업을 마칠 수 있는 '안정 상태'가 유지되는지 미리 계산합니다. 오직 안전함이 보장될 때만 자원을 할당하여 데드락 발생 가능성을 원천적으로 차단합니다.","The Banker's Algorithm is a deadlock Avoidance strategy that tests for safety by simulating the allocation of predetermined maximum possible amounts of all resources. This Avoidance method ensures that a resource request is only granted if the resulting system state remains safe, meaning there is at least one sequence of execution that avoids deadlock."
운영체제,메모리 관리 기법 중 고정 분할과 가변 분할 방식의 차이점은 무엇인가요,미리 나누어 두느냐 프로그램 크기에 맞춰 동적으로 나누느냐의 차이임,중,"연속할당, 외부 조각",메모리 관리,What is the difference between fixed partitioning and variable partitioning in memory management?,Difference between pre-partitioning vs. dynamic partitioning by program size,"Continuous Allocation, External Fragmentation",Memory Management,"메모리 관리에서 연속할당 방식은 프로세스를 메모리의 연속적인 공간에 배치하는 방식입니다. 이때 미리 파티션을 나누는 고정 분할 방식은 내부 조각이 생길 수 있고, 프로그램 크기에 맞춰 나누는 가변 분할 방식은 빈 공간들이 파편화되는 외부 조각 문제가 발생하여 메모리 활용 효율을 떨어뜨릴 수 있습니다.","In Continuous Allocation, each process is loaded into a single contiguous section of memory. While this is simple to implement, it often leads to External Fragmentation, where total memory space exists to satisfy a request but it is not contiguous. Managing External Fragmentation is a key challenge in optimizing Continuous Allocation schemes."
운영체제,페이징(Paging) 기법에서 주소 변환이 이루어지는 과정과 페이지 테이블의 역할을 설명해주세요,논리 주소의 페이지 번호를 테이블에서 찾아 실제 프레임 주소로 변환함,상,"페이징, 페이지 테이블",메모리 관리,Explain the address translation process in paging and the role of the page table,Translates logical page numbers to physical frame addresses using a table,"Paging, Page Table",Memory Management,"페이징 기법은 물리 메모리를 프레임이라는 고정 크기로 나누고, 프로세스의 논리 주소 공간을 페이지로 나누어 관리하는 방식입니다. 이때 페이지 테이블은 논리 주소의 페이지 번호를 대응하는 물리 주소의 프레임 번호로 매핑하여, 불연속적인 메모리 공간에서도 데이터가 효율적으로 변환되도록 돕는 역할을 합니다.","Paging is a memory management scheme that eliminates the need for contiguous allocation by dividing physical memory into frames and logical memory into pages. The Page Table serves as the central mapping mechanism, translating logical page numbers into physical frame addresses so that the CPU can correctly access data scattered across physical memory."
운영체제,LRU와 LFU 페이지 교체 알고리즘의 차이점과 각각의 장단점은 무엇인가요,가장 오래전 사용 여부(LRU)와 사용 횟수(LFU) 중 무엇을 중시하느냐의 차이임,중,"페이지 교체, LRU",가상 메모리,What are the differences between LRU and LFU page replacement algorithms and their pros/cons?,Difference between prioritizing least recently used (LRU) vs. least frequently used (LFU),"Page Replacement, LRU",Virtual Memory,"페이지 교체 알고리즘은 가상 메모리 관리 중 페이지 부재가 발생했을 때 어떤 페이지를 메모리에서 내보낼지 결정합니다. LRU는 가장 오랫동안 사용되지 않은 페이지를 교체하여 성능을 최적화하며, LFU는 참조 횟수가 가장 적은 페이지를 교체합니다. LRU는 시간 지역성을 잘 반영하기 때문에 실무에서 범용적으로 선호됩니다.","Page Replacement algorithms are used to decide which memory page to evict when a new page needs to be loaded. While LRU (Least Recently Used) prioritizes evicting the page that hasn't been accessed for the longest time, LFU focuses on usage frequency. LRU is widely implemented because it effectively leverages the principle of temporal locality."
운영체제,파일 시스템에서 사용자의 접근 권한을 관리하는 ACL과 그룹핑 방식에 대해 설명해주세요,파일별 권한 목록을 두거나 소유자/그룹별로 권한 비트를 부여하여 보호함,중,"파일 보호, ACL",파일 시스템,Explain ACL (Access Control List) and grouping methods for managing user access rights in file systems,Protects via permission lists (ACL) or owner/group permission bits,"File Protection, ACL",File System,"파일 보호를 위해 운영체제는 사용자의 접근 권한을 제어합니다. ACL(Access Control List)은 파일마다 접근 가능한 사용자 목록과 권한을 상세히 기록하여 관리하는 방식입니다. 또한 소유자, 그룹, 기타 사용자로 나누어 권한 비트를 부여하는 그룹핑 방식을 통해 효율적으로 자원 접근을 통제할 수 있습니다.","To ensure File Protection, operating systems manage access rights through mechanisms like ACL (Access Control List). An ACL maintains a detailed list of users and their specific permissions for each file, while grouping methods assign permission bits to owners and categories to simplify the administration of security policies."
운영체제,디스크 할당 방식 중 인덱스 할당(Indexed Allocation)의 장점과 구현 방식은 무엇인가요,인덱스 블록에 데이터 위치 정보를 모아두어 파일에 대한 직접 접근을 가능케 함,중,"인덱스 할당, 직접 접근",파일 시스템,What are the advantages and implementation of Indexed Allocation in disk storage?,Collects data locations in an index block to allow direct file access,"Indexed Allocation, Direct Access",File System,"인덱스 할당 방식은 각 파일마다 하나의 인덱스 블록을 두어, 해당 파일이 차지하는 모든 데이터 블록의 포인터를 모아 관리하는 방식입니다. 연결 할당과 달리 파일의 중간 부분으로 즉시 이동할 수 있는 직접 접근이 가능하다는 큰 장점이 있으며, 파일 크기가 커져도 효율적인 탐색이 가능합니다.","Indexed Allocation brings all pointers for a file's data blocks into a single index block. This method's primary advantage is that it supports Direct Access, allowing the system to jump to any part of the file without traversing intermediate blocks. It provides a robust solution for managing large files with high retrieval efficiency."
운영체제,디스크 스케줄링의 목적과 SCAN 기법이 SSTF 방식보다 우수한 점은 무엇인가요,헤드 이동 거리를 줄이되 기아 상태를 방지하고 대기 시간을 균일하게 함,중,"디스크 스케줄링, SCAN",디스크 관리,What is the purpose of disk scheduling and why is the SCAN technique superior to SSTF?,Reduces head movement while preventing starvation and unifying wait times,"Disk Scheduling, SCAN",Disk Management,"디스크 스케줄링의 목적은 헤드의 이동 거리를 최소화하여 처리량을 높이는 것입니다. SCAN 기법은 헤드가 디스크의 한쪽 끝에서 반대쪽 끝으로 이동하며 경로에 있는 요청을 모두 처리합니다. 이는 SSTF 방식에서 발생할 수 있는 특정 요청의 기아 현상을 방지하고, 응답 시간의 편차를 줄여준다는 점에서 우수합니다.","The goal of Disk Scheduling is to minimize the total seek time and maximize I/O performance. The SCAN algorithm improves upon simpler methods by moving the disk arm in a continuous sweep across the surface, preventing starvation of requests and ensuring a more uniform and predictable wait time for all pending I/O tasks."
네트워크,OSI 7계층의 각 단계와 계층화의 목적에 대해 설명해주시겠어요?,네트워킹 표준을 7단계로 나누어 문제 발생 시 해당 계층만 독립적으로 해결함,중,"OSI 7계층, 응용, 전송, 물리",네트워크,Explain the stages of the OSI 7-layer model and the purpose of layering,Standardizes networking into 7 layers to isolate and solve issues independently,"OSI 7 Layers, Application, Transport, Physical",Networking,"OSI 7계층은 복잡한 네트워크 통신 과정을 표준화한 모델입니다. 최하단의 물리 계층부터 데이터를 안정적으로 전송하는 전송 계층, 그리고 사용자가 직접 접하는 응용 계층까지 단계별로 독립적인 역할을 수행합니다. 이렇게 계층화함으로써 특정 계층의 문제만 개별적으로 해결할 수 있어 유지보수가 용이합니다.","The OSI 7 Layers model standardizes network communication into distinct levels, ranging from the Physical layer to the Transport and Application layers. This modular approach allows for interoperability between different systems, ensuring that changes or issues in one layer can be addressed independently without affecting the entire network stack."
네트워크,"서버 부하를 분산하는 로드밸런서의 개념과 L4, L7 로드밸런서의 차이점은 무엇인가요?",L4는 포트와 IP 기반으로 분산하고 L7은 애플리케이션 패킷 내용까지 확인하여 분산함,중,"로드밸런서, L4, L7, 분산방식",네트워크,Concept of load balancers and the differences between L4 and L7 load balancers,L4 balances by Port/IP; L7 balances by analyzing application packet content,"Load Balancer, L4, L7, Distribution",Networking,"로드밸런서는 트래픽을 여러 서버로 분산하여 시스템 안정성을 높이는 장치입니다. L4 로드밸런서는 IP와 포트 번호만을 기준으로 단순하게 부하를 분산하지만, L7 로드밸런서는 HTTP 헤더나 쿠키 등 애플리케이션의 세부 내용을 분석하여 더욱 정밀한 분산방식을 적용할 수 있다는 차이가 있습니다.","A Load Balancer distributes incoming network traffic across multiple servers to prevent overload. An L4 load balancer makes decisions based on network layer data like IP and Port, whereas an L7 load balancer analyzes the content of the Application layer for a more sophisticated Distribution of requests based on specific URLs or data types."
네트워크,블로킹/논블로킹과 동기/비동기 방식의 차이를 기술적인 관점에서 비교해주세요,호출된 함수의 종료를 기다리는지 여부와 완료 통지 방식의 조합 차이임,상,"Blocking, Non-Blocking, Sync",네트워크,Technical comparison between Blocking/Non-blocking and Synchronous/Asynchronous,Combination of waiting for function termination and completion notification style,"Blocking, Non-Blocking, Sync",Networking,"Sync(동기) 방식은 작업의 결과가 나올 때까지 흐름을 맞추는 것이며, Blocking은 작업이 완료될 때까지 제어권을 넘기지 않고 대기하는 상태를 말합니다. Non-Blocking은 호출된 함수가 즉시 제어권을 반환하여 다른 일을 할 수 있게 하므로, 비동기 방식과 조합될 때 고성능의 네트워크 통신을 구현할 수 있습니다.","In a technical context, Sync (Synchronous) refers to coordinating the execution flow with the task's completion. Blocking occurs when a process pauses and waits for an operation to finish, while Non-Blocking allows the process to continue its execution immediately, providing a framework for high-concurrency systems when paired with asynchronous notification."
네트워크,네트워크를 통해 데이터가 전달되는 캡슐화와 역캡슐화 과정을 설명해주세요,"응용계층 데이터에 각 계층의 헤더가 붙어 세그먼트, 패킷, 프레임으로 변환됨",중,"캡슐화, 헤더, 데이터전달",네트워크,Explain the encapsulation and decapsulation processes in network data transmission,"Application data gets headers, becoming segments, packets, and frames","Encapsulation, Header, Data Transfer",Networking,"네트워크 통신 시 데이터전달을 위해 각 계층을 지나며 캡슐화 과정이 일어납니다. 상위 계층의 데이터 앞에 해당 계층의 제어 정보인 헤더를 붙여 세그먼트, 패킷, 프레임으로 변환합니다. 수신 측에서는 이와 반대로 헤더를 하나씩 제거하는 역캡슐화 과정을 통해 원래의 데이터를 복원합니다.","During Data Transfer, the process of Encapsulation adds a specific Header to the data at each layer of the protocol stack. These headers contain control information necessary for routing and error checking, transforming the payload into segments or packets as it moves down the layers before being transmitted across the network."
네트워크,패킷 전송 시 발생하는 딜레이의 종류와 그 원인은 무엇인가요?,"처리, 큐잉, 전송, 전파 지연으로 나뉘며 라우터 성능이나 대역폭의 영향을 받음",중,"딜레이, 라우터성능, 전송지연",네트워크,Types and causes of delays occurring during packet transmission,"Split into processing, queuing, transmission, and propagation delays","Delay, Router Performance, Transmission Delay",Networking,"패킷 전송 시 발생하는 딜레이는 크게 네 가지로 나뉩니다. 패킷을 검사하는 처리 지연, 큐에서 대기하는 큐잉 지연, 링크로 데이터를 내보내는 전송지연, 그리고 실제 물리적 매체를 타고 이동하는 전파 지연이 있습니다. 특히 라우터성능이나 네트워크 대역폭에 따라 이러한 지연 시간이 결정됩니다.","Network Delay is composed of processing, queuing, transmission, and propagation delays. Transmission Delay is specifically the time required to push all of the packet's bits into the link, which is heavily influenced by the bandwidth and the overall Router Performance along the communication path."
네트워크,HTTP 프로토콜의 특징과 신뢰성 있는 통신을 위해 TCP를 사용하는 이유를 말씀해주세요,하이퍼텍스트 전송을 위한 규약으로 신뢰성을 위해 TCP 연결을 먼저 성립함,하,"HTTP, TCP 연결, 요청응답",응용계층,Characteristics of HTTP and the reasons for using TCP for reliable communication,Protocol for hypertext; establishes TCP connection first for reliability,"HTTP, TCP Connection, Request-Response",Application Layer,"HTTP는 웹상에서 정보를 주고받기 위한 비상태(Stateless) 프로토콜입니다. 하지만 데이터의 신뢰성 있는 전송이 중요하기 때문에, 통신을 시작하기 전 반드시 TCP 연결을 성립시키는 과정을 거칩니다. 이를 통해 클라이언트와 서버 간의 정확한 요청응답이 보장되며 패킷의 유실이나 순서 바뀜을 방지합니다.","HTTP is an application-level protocol designed for the Request-Response cycle of web data. To ensure data integrity, it relies on a TCP Connection to establish a reliable communication channel. This underlying reliability prevents data loss and ensures that web resources are delivered correctly and in the proper order."
네트워크,DNS 시스템이 도메인 이름을 IP 주소로 변환하는 계층적 원리는 무엇인가요?,전 세계에 분산된 서버 구조를 통해 URL에 해당하는 IP를 단계별로 찾아 반환함,하,"DNS, IP변환, 계층구조",응용계층,Hierarchical principles of how the DNS system translates domain names into IP addresses,Step-by-step IP lookup for URLs via a globally distributed server structure,"DNS, IP Resolution, Hierarchy",Application Layer,"DNS는 사람이 읽기 쉬운 도메인 이름을 컴퓨터가 이해하는 IP 주소로 변환해주는 시스템입니다. 전 세계적으로 분산된 계층구조를 가지고 있어, 루트 네임 서버부터 단계별로 질의를 전달하며 최종적인 IP변환 결과를 찾아냅니다. 덕분에 우리는 복잡한 숫자 주소를 외우지 않고도 인터넷을 이용할 수 있습니다.","DNS provides a hierarchical service for IP Resolution, translating human-readable domain names into IP addresses. This Hierarchy involves multiple servers, such as TLD and authoritative name servers, working together to resolve a query, ensuring that users can navigate the internet using memorable URLs instead of numeric addresses."
네트워크,전송 계층의 주요 기능인 멀티플렉싱과 디멀티플렉싱은 어떻게 이루어지나요?,여러 프로세스의 데이터를 하나로 묶거나 헤더의 포트 번호를 확인해 소켓으로 전달함,중,"멀티플렉싱, 포트번호, 소켓",전송계층,How multiplexing and demultiplexing function in the transport layer,Multiplexes data from processes or demultiplexes to sockets via port numbers,"Multiplexing, Port Number, Socket",Transport Layer,"전송 계층은 여러 프로세스에서 오는 데이터를 모아 하나의 스트림으로 만드는 멀티플렉싱과, 받은 데이터를 적절한 프로세스로 전달하는 디멀티플렉싱을 수행합니다. 이때 각 데이터를 구분하기 위해 포트번호를 사용하며, 이는 특정 소켓과 연결되어 정확한 데이터 송수신이 가능하도록 지원합니다.","The transport layer handles Multiplexing by gathering data from different sockets and adding headers to create segments. Conversely, it uses the Port Number in the header to perform demultiplexing, delivering data to the correct Socket so that multiple applications can share a single network connection simultaneously."
네트워크,TCP와 UDP의 결정적인 차이점과 각각 어떤 상황에서 사용되는지 설명해주세요,TCP는 신뢰성 중심의 연결형이며 UDP는 속도 중심의 비연결형 프로토콜임,중,"TCP, UDP, 신뢰성, 속도",전송계층,Critical differences between TCP and UDP and their respective use cases,TCP is reliability-focused (connected); UDP is speed-focused (connectionless),"TCP, UDP, Reliability, Speed",Transport Layer,TCP와 UDP의 가장 큰 차이는 신뢰성과 속도의 트레이드오프입니다. TCP는 연결형 서비스로 데이터의 전송 순서와 무결성을 보장하여 웹 서핑이나 파일 전송에 적합합니다. 반면 UDP는 비연결형으로 오버헤드가 적어 실시간 스트리밍이나 온라인 게임처럼 빠른 전송 속도가 우선인 상황에서 주로 사용됩니다.,"The choice between TCP and UDP depends on whether the application prioritizes Reliability or Speed. TCP provides a connection-oriented service with error recovery, making it ideal for accurate data transfer, while UDP is a connectionless protocol that offers lower latency for real-time services where minor data loss is acceptable."
네트워크,신뢰성 있는 데이터 전송을 위한 RDT 프로토콜의 작동 원리는 무엇인가요?,체크섬과 타이머 및 시퀀스 넘버를 활용해 패킷의 에러와 유실을 방지함,중,"RDT, 에러체크, 재전송",전송계층,Principles of the RDT (Reliable Data Transfer) protocol,"Uses checksums, timers, and sequence numbers to prevent errors and loss","RDT, Error Check, Retransmission",Transport Layer,"RDT(Reliable Data Transfer)는 신뢰할 수 없는 하위 네트워크 채널에서도 안전한 전송을 보장하기 위한 프로토콜 원리입니다. 패킷의 오류를 감지하는 에러체크와, 응답이 없거나 손상되었을 때 데이터를 다시 보내는 재전송 매커니즘을 핵심으로 하여, 데이터가 유실 없이 목적지까지 도달하도록 보장합니다.","RDT is a set of principles designed to ensure data integrity over unreliable channels. It utilizes Error Check codes and Retransmission strategies, such as ARQ, to detect corrupted or missing packets. This ensures that the destination receives a perfect copy of the original data regardless of network interference."
네트워크,파이프라인 전송 방식인 GBN과 Selective Repeat의 차이점을 설명해주세요,GBN은 유실 시 윈도우 전체를 재전송하고 SR은 손실된 패킷만 선택적으로 재전송함,상,"GBN, Selective Repeat",전송계층,Differences between GBN (Go-Back-N) and Selective Repeat in pipelined transmission,GBN resends the whole window on loss; SR resends only the lost packets,"GBN, Selective Repeat",Transport Layer,파이프라인 전송에서 GBN(Go-Back-N)은 패킷 유실 시 해당 순서 이후의 모든 패킷을 다시 보내는 단순한 방식입니다. 반면 Selective Repeat은 수신 측이 개별적으로 ACK를 보내 유실된 특정 패킷만 골라 재전송함으로써 네트워크 대역폭 낭비를 줄이고 전송 효율을 극대화한다는 차이점이 있습니다.,"In pipelined data transfer, GBN forces the sender to resend all unacknowledged packets from the point of failure. In contrast, Selective Repeat allows the receiver to acknowledge individual packets, so the sender only performs a Selective Repeat of the specific missing frames, optimizing bandwidth usage in high-loss environments."
네트워크,TCP의 3-way 및 4-way handshake 과정을 통해 연결이 성립되고 해제되는 방식을 설명해주세요,통신 시작 전 연결을 맺고 종료 시 데이터 잔량을 확인하며 안전하게 연결을 해제함,상,"Handshake, SYN, ACK, FIN",전송계층,Connection establishment and termination via TCP 3-way and 4-way handshakes,Connects before communicating and safely disconnects after checking data,"Handshake, SYN, ACK, FIN",Transport Layer,TCP는 Handshake 과정을 통해 통신을 제어합니다. 연결 설정 시에는 SYN과 ACK 패킷을 주고받는 3-way handshake를 통해 양방향 통신 준비를 마칩니다. 반대로 연결 해제 시에는 FIN 패킷을 사용하여 남은 데이터를 모두 처리하고 안전하게 세션을 종료하는 4-way handshake 과정을 거치게 됩니다.,"The TCP Handshake ensures a synchronized start and end to communication. The 3-way version uses SYN and ACK flags to establish a reliable session, while the 4-way termination uses the FIN flag to gracefully close the connection, ensuring all data in transit is accounted for before the resources are released."
네트워크,TCP의 흐름 제어(Flow Control) 기법은 구체적으로 어떻게 동작하나요?,수신 측의 남은 버퍼 크기를 송신 측에 공유하여 처리 가능한 양만큼만 보내게 함,중,"흐름제어, 슬라이딩윈도우",전송계층,Specific mechanisms of how TCP Flow Control operates,Shares receiver's buffer size with sender to prevent buffer overflow,"Flow Control, Sliding Window",Transport Layer,TCP의 흐름제어는 송신 측과 수신 측의 처리 속도 차이를 해결하기 위한 기법입니다. 수신 측이 자신의 남은 버퍼 크기를 알려주면 송신 측은 이에 맞춰 전송량을 조절하는 슬라이딩윈도우 방식을 사용합니다. 이를 통해 수신 측의 버퍼가 넘쳐 데이터가 손실되는 상황을 사전에 방지할 수 있습니다.,"Flow Control in TCP manages the data transmission rate to prevent a fast sender from overwhelming a slow receiver. By utilizing the Sliding Window mechanism, the receiver advertises its available buffer space, allowing the sender to adjust the volume of outstanding data and maintain a steady, loss-free flow of information."
네트워크,TCP의 혼잡 제어(Congestion Control)가 필요한 이유와 주요 3가지 페이즈를 설명해주세요,네트워크 과부하를 막기 위해 Slow Start 등으로 전송량을 조절하며 상태를 유추함,상,"혼잡제어, Slow Start, 회피",전송계층,Reasons for TCP Congestion Control and its three main phases,Regulates transfer rate via Slow Start to prevent network congestion,"Congestion Control, Slow Start, Avoidance",Transport Layer,"혼잡제어는 네트워크 자체의 과부하를 막기 위해 데이터 전송 속도를 제어하는 기술입니다. 초기 전송량을 기하급수적으로 늘리는 Slow Start 단계를 거쳐, 네트워크가 감당할 수 있는 수준에 도달하면 선형적으로 늘리는 회피 단계를 수행합니다. 이를 통해 패킷 유실을 최소화하고 전체 네트워크의 붕괴를 예방합니다.","Congestion Control is vital for maintaining network stability by preventing traffic collapse. It begins with Slow Start, rapidly increasing the window size to probe capacity, and then transitions into congestion Avoidance to cautiously approach the maximum throughput without causing excessive drops or packet loss."
네트워크,라우터가 패킷을 받아 목적지로 전달하기 위해 수행하는 핵심 역할은 무엇인가요?,목적지 주소를 확인하고 라우팅 테이블을 참조하여 최적의 경로로 패킷을 포워딩함,중,"라우터, 포워딩, 라우팅테이블",네트워크계층,Core role of a router in receiving and forwarding packets to their destinations,Checks destination and forwards packets via optimal routes using routing tables,"Router, Forwarding, Routing Table",Network Layer,"라우터는 네트워크 계층의 핵심 장비로, 수신한 패킷의 목적지 IP 주소를 확인하여 최적의 경로로 전달하는 포워딩을 수행합니다. 이때 가장 적합한 경로 정보를 담고 있는 라우팅테이블을 참조하며, 다양한 경로 탐색 알고리즘을 통해 데이터가 목적지까지 가장 빠르고 효율적으로 도달할 수 있도록 경로를 결정합니다.","A Router is responsible for the Forwarding of packets between different networks. It examines the destination address of an incoming packet and looks up the best exit interface in its Routing Table. This ensures that data travels through an optimal path, connecting disparate networks into a cohesive global infrastructure."
네트워크,IP 주소의 계층적 구조와 서브넷 마스크를 통해 네트워크를 구분하는 이유는 무엇인가요?,네트워크와 호스트를 구분하여 복잡한 라우팅 테이블을 효율적으로 관리하기 위함임,하,"IP주소, 서브넷마스크, 계층화",네트워크계층,Hierarchical structure of IP addresses and the purpose of using subnet masks,Distinguishes networks from hosts to manage complex routing tables efficiently,"IP Address, Subnet Mask, Hierarchy",Network Layer,"IP주소는 전 세계 컴퓨터를 식별하기 위해 계층화된 구조를 가집니다. 서브넷마스크를 사용하면 이 주소에서 네트워크 부분과 호스트 부분을 명확히 구분할 수 있는데, 이를 통해 거대한 인터넷 망에서도 라우터가 목적지 네트워크를 빠르게 찾아내어 라우팅 테이블을 효율적으로 관리할 수 있게 됩니다.","An IP Address has a hierarchical structure to identify devices globally. By using a Subnet Mask, the system distinguishes between the network and host portions of the address. This Hierarchy allows routers to manage complex routing tables efficiently by grouping devices into specific sub-networks rather than tracking every individual host."
네트워크,NAT 기술이 주소 부족 문제를 해결하는 원리와 보안상의 장점을 말씀해주세요,사설 IP를 공인 IP로 변환하여 주소를 절약하고 내부 네트워크 구조를 외부에 감춤,중,"NAT, 공인IP, 사설IP",네트워크계층,Principles of NAT in solving address scarcity and its security advantages,Converts private IPs to public to save addresses and hide internal structure,"NAT, Public IP, Private IP",Network Layer,"NAT 기술은 한정된 공인IP 부족 문제를 해결하기 위해 등장했습니다. 내부망에서는 여러 대의 장치가 사설IP를 사용하고, 외부 인터넷으로 나갈 때만 하나의 공인 주소로 변환하여 통신합니다. 이 과정에서 내부 네트워크 구조가 외부에 드러나지 않아 보안성이 강화되는 부수적인 장점도 있습니다.","NAT is a technique used to mitigate the scarcity of Public IP addresses by allowing multiple devices in a local network to share a single public address using Private IPs. Beyond saving addresses, NAT provides a security advantage by hiding the internal network topology from the outside world."
네트워크,DHCP 프로토콜을 통해 IP가 자동으로 할당되는 4단계 과정을 설명해주시겠어요?,"Discover, Offer, Request, ACK의 과정을 브로드캐스트를 활용해 진행함",중,"DHCP, IP자동할당",네트워크계층,Four-step process of automatic IP assignment via the DHCP protocol,"Performs Discover, Offer, Request, and ACK steps using broadcasts","DHCP, Automatic IP Assignment",Network Layer,"DHCP는 클라이언트에게 IP자동할당 서비스를 제공하는 프로토콜입니다. 과정은 4단계로 진행되는데, 클라이언트가 서버를 찾는 Discover, 서버가 주소를 제안하는 Offer, 클라이언트가 사용을 요청하는 Request, 그리고 최종적으로 서버가 승인하는 ACK 순서로 브로드캐스트를 통해 이루어집니다.","DHCP enables Automatic IP Assignment through a four-step handshake process. It starts with a DHCP Discover broadcast from the client, followed by an Offer from the server, a Request from the client for the specific address, and finally an ACK from the server to confirm the lease of the configuration."
네트워크,라우팅 알고리즘 중 링크 상태 방식과 거리 벡터 방식의 차이는 무엇인가요?,전체 네트워크 정보를 아는지 혹은 이웃 라우터의 정보만 활용하는지의 차이임,상,"다익스트라, 거리벡터, 알고리즘",네트워크계층,Differences between link-state and distance-vector routing algorithms,Difference between knowing the full network info vs. only neighboring routers,"Dijkstra, Distance Vector, Algorithm",Network Layer,라우팅 알고리즘은 정보 수집 범위에 따라 나뉩니다. 다익스트라 알고리즘을 사용하는 링크 상태 방식은 전체 네트워크 지도를 그려 최단 경로를 찾지만 계산 복잡도가 높습니다. 반면 거리벡터 방식은 이웃 라우터와 주기적으로 거리 정보를 교환하며 경로를 결정하는 비교적 단순한 방식입니다.,"Routing Algorithms vary based on how they discover the network topology. Link-state algorithms, such as Dijkstra, require full knowledge of the network to calculate the shortest path, while the Distance Vector approach relies on periodic updates from neighboring routers to determine the best path."
